Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,128_C/127_N,128_C/127_N Count,128_C/127_N Variability [%],128_N/126,128_N/126 Count,128_N/126 Variability [%],129_N/127_C,129_N/127_C Count,129_N/127_C Variability [%],"Score A(4,11)","Coverage A(4,11)","# Peptides A(4,11)","# PSM A(4,11)","Score A(7,9,12,14)","Coverage A(7,9,12,14)","# Peptides A(7,9,12,14)","# PSM A(7,9,12,14)","Score B(3,6,11,13,17,18)","Coverage B(3,6,11,13,17,18)","# Peptides B(3,6,11,13,17,18)","# PSM B(3,6,11,13,17,18)","Score B(8,10,15)","Coverage B(8,10,15)","# Peptides B(8,10,15)","# PSM B(8,10,15)",# AAs,MW [kDa],calc. pI
Q9Y3A6,Transmembrane emp24 domain-containing protein 5 OS=Homo sapiens GN=TMED5 PE=1 SV=1 - [TMED5_HUMAN],54.59,1,11,11,150,1.119,6;50,9.5,1.104,6;50,4.3,1.137,7;49,12.9,255.03 ,44.98,10,16,69.27 ,42.36,10,20,128.13 ,48.91,13,54,897.22 ,48.91,12,60,229,26.0,4.84
Q8NHU6,Tudor domain-containing protein 7 OS=Homo sapiens GN=TDRD7 PE=1 SV=2 - [TDRD7_HUMAN],25.41,1,21,21,45,1.119,-;22,,1.201,-;22,,1.147,-;22,,,,,,,,,,64.32 ,25.41,20,22,330.26 ,22.59,19,23,1098,123.5,7.21
Q9BSF8,BTB/POZ domain-containing protein 10 OS=Homo sapiens GN=BTBD10 PE=1 SV=2 - [BTBDA_HUMAN],7.16,1,3,3,5,1.119,-;3,,1.222,-;3,,1.224,-;3,,,,,,,,,,7.50 ,7.16,3,3,36.12 ,5.47,2,2,475,53.7,7.77
P48059,LIM and senescent cell antigen-like-containing domain protein 1 OS=Homo sapiens GN=LIMS1 PE=1 SV=4 - [LIMS1_HUMAN],61.23,2,14,14,42,1.119,3;17,18.0,1.083,3;17,4.3,1.106,3;17,2.3,77.72 ,20.62,6,7,20.80 ,10.15,5,5,35.81 ,40.31,11,16,169.28 ,44.00,10,14,325,37.2,8.05
P10398,Serine/threonine-protein kinase A-Raf OS=Homo sapiens GN=ARAF PE=1 SV=2 - [ARAF_HUMAN],39.44,1,12,16,38,1.119,-;15,,1.152,-;15,,1.039,-;15,,,,,,,,,,52.18 ,38.28,16,19,217.17 ,38.12,15,19,606,67.5,9.01
Q7L1Q6,Basic leucine zipper and W2 domain-containing protein 1 OS=Homo sapiens GN=BZW1 PE=1 SV=1 - [BZW1_HUMAN],63.01,1,21,23,149,1.118,11;43,7.5,1.262,11;43,4.6,1.213,11;43,1.2,434.74 ,32.70,20,29,113.54 ,34.61,21,30,154.48 ,59.19,23,44,896.95 ,57.28,21,46,419,48.0,5.92
Q9BUM1,Glucose-6-phosphatase 3 OS=Homo sapiens GN=G6PC3 PE=1 SV=2 - [G6PC3_HUMAN],6.07,1,1,1,2,1.118,-;1,,0.954,-;1,,1.259,-;1,,,,,,,,,,5.14 ,6.07,1,1,54.68 ,6.07,1,1,346,38.7,8.21
Q9UHR4,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 OS=Homo sapiens GN=BAIAP2L1 PE=1 SV=2 - [BI2L1_HUMAN],64.38,1,24,25,89,1.118,1;39,7.3,1.082,1;39,10.8,1.198,1;39,3.0,54.11 ,9.78,3,3,11.14 ,8.61,3,3,115.12 ,61.06,26,40,517.45 ,59.10,25,43,511,56.8,8.68
O00506,Serine/threonine-protein kinase 25 OS=Homo sapiens GN=STK25 PE=1 SV=1 - [STK25_HUMAN],41.08,1,12,17,55,1.118,2;15,3.6,1.153,2;15,9.1,1.047,2;15,18.2,97.12 ,7.51,3,3,13.82 ,7.51,4,4,73.39 ,38.73,20,26,445.15 ,33.80,15,22,426,48.1,6.74
Q8WVC6,Dephospho-CoA kinase domain-containing protein OS=Homo sapiens GN=DCAKD PE=1 SV=1 - [DCAKD_HUMAN],10.82,1,2,2,4,1.118,-;2,,0.932,-;2,,1.054,-;2,,,,,,,,,,6.88 ,10.82,2,2,66.02 ,10.82,2,2,231,26.5,9.58
Q9BRF8,Calcineurin-like phosphoesterase domain-containing protein 1 OS=Homo sapiens GN=CPPED1 PE=1 SV=3 - [CPPED_HUMAN],44.90,1,10,10,52,1.118,7;17,0.4,1.218,7;17,3.1,1.076,7;17,2.1,198.02 ,22.93,5,7,43.97 ,22.93,9,11,43.30 ,38.54,9,16,412.24 ,44.59,9,18,314,35.5,6.20
O14545,TRAF-type zinc finger domain-containing protein 1 OS=Homo sapiens GN=TRAFD1 PE=1 SV=1 - [TRAD1_HUMAN],38.83,1,14,14,35,1.118,-;15,,0.986,-;15,,1.084,-;15,,,,,,,,,,41.92 ,37.29,13,18,121.74 ,38.83,14,17,582,64.8,5.29
Q96N66,Lysophospholipid acyltransferase 7 OS=Homo sapiens GN=MBOAT7 PE=1 SV=2 - [MBOA7_HUMAN],16.74,1,7,7,39,1.118,4;14,9.7,1.233,4;14,11.3,1.207,4;14,0.2,177.94 ,8.69,4,5,27.55 ,8.69,5,6,53.23 ,16.74,7,14,338.62 ,16.74,7,14,472,52.7,8.97
Q9HC44,Vasculin-like protein 1 OS=Homo sapiens GN=GPBP1L1 PE=1 SV=1 - [GPBL1_HUMAN],7.38,1,2,2,4,1.118,-;2,,0.981,-;2,,1.056,-;2,,,,,,,,,,7.56 ,7.38,2,2,53.59 ,7.38,2,2,474,52.3,6.84
P61970,Nuclear transport factor 2 OS=Homo sapiens GN=NUTF2 PE=1 SV=1 - [NTF2_HUMAN],67.72,1,5,6,87,1.117,6;30,2.1,1.187,6;30,4.1,1.074,6;30,2.9,134.23 ,28.35,6,12,44.39 ,23.62,4,11,103.66 ,62.99,7,33,464.90 ,62.99,6,31,127,14.5,5.38
Q9C0D6,FH2 domain-containing protein 1 OS=Homo sapiens GN=FHDC1 PE=1 SV=2 - [FHDC1_HUMAN],8.75,1,7,8,15,1.117,-;7,,1.048,-;7,,1.150,-;7,,,,,,2.06 ,0.52,1,1,20.22 ,8.22,7,7,92.78 ,8.22,7,7,1143,124.7,9.03
P53992,Protein transport protein Sec24C OS=Homo sapiens GN=SEC24C PE=1 SV=3 - [SC24C_HUMAN],37.02,1,30,31,148,1.117,8;51,3.0,1.153,9;52,5.7,1.144,8;52,4.9,328.20 ,10.97,17,19,78.27 ,10.97,21,23,170.57 ,34.64,33,57,713.50 ,33.91,29,49,1094,118.2,7.06
Q9GZV5,WW domain-containing transcription regulator protein 1 OS=Homo sapiens GN=WWTR1 PE=1 SV=1 - [WWTR1_HUMAN],36.50,1,8,8,49,1.117,1;21,2.5,1.089,1;20,21.5,1.415,2;21,34.6,57.10 ,4.75,1,1,6.19 ,6.75,4,4,75.72 ,32.50,6,22,345.17 ,36.50,8,22,400,44.1,5.82
Q9H3F6,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3 OS=Homo sapiens GN=KCTD10 PE=1 SV=1 - [BACD3_HUMAN],23.00,2,6,7,16,1.117,-;6,,1.165,-;6,,1.096,-;6,,72.00 ,5.43,1,1,5.32 ,5.43,1,1,19.94 ,23.00,7,7,129.85 ,23.00,7,7,313,35.4,6.34
Q9UKA2,F-box/LRR-repeat protein 4 OS=Homo sapiens GN=FBXL4 PE=1 SV=2 - [FBXL4_HUMAN],5.64,1,2,2,4,1.117,-;2,,1.002,-;2,,0.904,-;2,,,,,,,,,,6.67 ,5.64,2,2,62.46 ,5.64,2,2,621,70.1,6.52
P13489,Ribonuclease inhibitor OS=Homo sapiens GN=RNH1 PE=1 SV=2 - [RINI_HUMAN],73.10,1,21,22,173,1.117,12;60,0.6,1.135,12;59,4.6,1.078,12;61,3.7,358.44 ,20.17,15,24,87.46 ,18.87,16,25,156.85 ,68.76,23,62,1101.41 ,68.76,22,62,461,49.9,4.82
Q8N3R3,"T-cell activation inhibitor, mitochondrial OS=Homo sapiens GN=TCAIM PE=2 SV=2 - [TCAIM_HUMAN]",7.06,1,3,3,4,1.117,-;2,,0.809,-;2,,0.928,-;2,,,,,,,,,,5.54 ,5.44,2,2,41.17 ,4.03,2,2,496,57.9,8.69
P01130,Low-density lipoprotein receptor OS=Homo sapiens GN=LDLR PE=1 SV=1 - [LDLR_HUMAN],33.02,1,21,23,69,1.117,1;28,10.9,1.143,1;28,13.9,1.016,2;28,5.5,73.75 ,8.02,3,3,16.55 ,8.02,3,3,86.79 ,30.93,24,32,202.56 ,32.91,21,31,860,95.3,5.05
Q969M7,NEDD8-conjugating enzyme UBE2F OS=Homo sapiens GN=UBE2F PE=1 SV=1 - [UBE2F_HUMAN],40.00,1,4,4,15,1.117,-;7,,1.184,-;7,,1.181,-;7,,,,,,,,,,19.09 ,40.00,4,8,122.42 ,40.00,4,7,185,21.1,6.79
Q7Z739,YTH domain-containing family protein 3 OS=Homo sapiens GN=YTHDF3 PE=1 SV=1 - [YTHD3_HUMAN],34.19,1,9,15,98,1.117,3;23,1.4,1.228,3;23,0.1,1.270,4;23,1.1,251.46 ,17.44,10,12,51.81 ,17.44,11,16,101.28 ,30.43,15,35,617.69 ,32.14,13,35,585,63.8,9.04
Q32P28,Prolyl 3-hydroxylase 1 OS=Homo sapiens GN=LEPRE1 PE=1 SV=2 - [P3H1_HUMAN],66.58,1,29,30,352,1.117,15;98,4.4,1.114,15;97,1.0,1.107,15;98,3.5,759.62 ,36.96,29,49,210.13 ,36.96,29,50,285.46 ,65.63,36,156,1235.08 ,65.63,33,97,736,83.3,5.14
Q14019,Coactosin-like protein OS=Homo sapiens GN=COTL1 PE=1 SV=3 - [COTL1_HUMAN],76.76,1,12,12,88,1.117,10;27,1.0,1.328,10;27,9.7,1.083,10;27,5.8,253.97 ,64.08,14,16,65.95 ,59.15,13,16,80.19 ,57.04,10,28,256.80 ,63.38,10,28,142,15.9,5.67
Q15365,Poly(rC)-binding protein 1 OS=Homo sapiens GN=PCBP1 PE=1 SV=2 - [PCBP1_HUMAN],83.71,2,14,19,299,1.117,8;83,5.4,1.140,8;84,6.0,1.086,8;84,6.3,330.37 ,33.15,14,29,101.07 ,43.54,16,34,307.64 ,81.18,29,132,1320.42 ,81.18,23,104,356,37.5,7.09
Q8NBT0,POC1 centriolar protein homolog A OS=Homo sapiens GN=POC1A PE=1 SV=2 - [POC1A_HUMAN],11.55,1,2,2,4,1.117,-;2,,0.739,-;2,,0.729,-;2,,,,,,,,,,3.90 ,11.55,2,3,58.93 ,3.19,1,1,407,45.0,7.59
Q9NP73,Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13 OS=Homo sapiens GN=ALG13 PE=1 SV=2 - [ALG13_HUMAN],1.67,1,1,1,4,1.117,-;2,,0.670,-;2,,0.867,-;2,,,,,,,,,,2.02 ,1.67,1,2,26.68 ,1.67,1,2,1137,126.0,6.74
Q13905,Rap guanine nucleotide exchange factor 1 OS=Homo sapiens GN=RAPGEF1 PE=1 SV=3 - [RPGF1_HUMAN],10.96,1,8,8,15,1.116,-;8,,1.269,-;8,,1.161,-;8,,,,,,,,,,22.71 ,10.96,8,9,111.35 ,7.71,6,6,1077,120.5,5.92
Q08AM6,Protein VAC14 homolog OS=Homo sapiens GN=VAC14 PE=1 SV=1 - [VAC14_HUMAN],30.82,1,16,16,59,1.116,2;24,5.3,1.133,-;24,,1.135,-;24,,151.27 ,12.40,4,5,25.39 ,12.40,4,6,69.74 ,30.82,17,25,499.71 ,28.26,15,23,782,87.9,6.13
P14314,Glucosidase 2 subunit beta OS=Homo sapiens GN=PRKCSH PE=1 SV=2 - [GLU2B_HUMAN],56.44,1,21,21,248,1.116,20;84,2.2,1.053,21;84,2.0,1.110,21;84,4.8,633.24 ,44.70,22,40,177.81 ,50.19,28,49,180.29 ,56.44,28,83,1043.87 ,54.36,24,76,528,59.4,4.41
Q9BY32,Inosine triphosphate pyrophosphatase OS=Homo sapiens GN=ITPA PE=1 SV=2 - [ITPA_HUMAN],54.12,1,6,6,27,1.116,2;12,1.7,1.306,1;12,17.6,0.842,2;12,34.5,113.45 ,8.76,1,2,10.86 ,8.76,1,2,31.09 ,54.12,7,12,166.49 ,40.21,6,11,194,21.4,5.66
Q92615,La-related protein 4B OS=Homo sapiens GN=LARP4B PE=1 SV=3 - [LAR4B_HUMAN],50.14,1,24,24,119,1.116,3;41,11.3,0.982,3;41,4.6,1.104,2;41,9.8,231.95 ,10.70,6,7,32.66 ,10.70,7,8,110.28 ,48.92,28,60,416.70 ,47.15,23,44,738,80.5,6.92
Q9NTG1,Polycystic kidney disease and receptor for egg jelly-related protein OS=Homo sapiens GN=PKDREJ PE=2 SV=2 - [PKDRE_HUMAN],1.73,1,1,2,3,1.116,-;1,,1.123,-;1,,0.902,-;1,,0.00 ,0.27,1,1,,,,,2.76 ,1.46,1,2,,,,,2253,255.3,9.11
Q9NS87,Kinesin-like protein KIF15 OS=Homo sapiens GN=KIF15 PE=1 SV=1 - [KIF15_HUMAN],14.55,1,17,17,35,1.116,-;18,,1.254,-;18,,1.136,-;18,,,,,,,,,,50.39 ,14.55,17,18,274.16 ,14.05,16,17,1388,160.1,6.00
O75943,Cell cycle checkpoint protein RAD17 OS=Homo sapiens GN=RAD17 PE=1 SV=2 - [RAD17_HUMAN],24.38,1,14,14,29,1.116,-;14,,1.126,-;14,,1.003,-;14,,,,,,,,,,43.50 ,24.38,14,16,208.38 ,18.36,11,13,681,77.0,7.06
P04732,Metallothionein-1E OS=Homo sapiens GN=MT1E PE=1 SV=1 - [MT1E_HUMAN],32.79,5,1,2,14,1.116,-;1,,1.427,-;1,,1.427,-;1,,,,,,,,,,15.79 ,32.79,2,7,103.86 ,32.79,2,7,61,6.0,7.96
Q9NWT6,Hypoxia-inducible factor 1-alpha inhibitor OS=Homo sapiens GN=HIF1AN PE=1 SV=2 - [HIF1N_HUMAN],43.84,1,8,9,25,1.116,-;11,,1.158,-;11,,1.210,-;11,,,,,,3.19 ,6.88,1,1,32.76 ,41.83,10,13,301.09 ,43.84,10,11,349,40.3,5.57
O00763,Acetyl-CoA carboxylase 2 OS=Homo sapiens GN=ACACB PE=1 SV=3 - [ACACB_HUMAN],5.61,1,2,11,38,1.116,-;1,,1.290,-;1,,1.051,-;1,,157.86 ,2.24,7,8,41.31 ,2.69,9,10,30.51 ,5.17,10,10,167.91 ,4.64,9,10,2458,276.4,6.49
Q86YS7,C2 domain-containing protein 5 OS=Homo sapiens GN=C2CD5 PE=1 SV=1 - [C2CD5_HUMAN],27.70,1,19,19,53,1.116,-;25,,1.146,-;25,,1.141,-;25,,48.65 ,2.90,1,2,9.11 ,2.90,1,3,62.43 ,27.70,19,24,291.00 ,26.80,18,24,1000,110.4,5.69
Q9BRZ2,E3 ubiquitin-protein ligase TRIM56 OS=Homo sapiens GN=TRIM56 PE=1 SV=3 - [TRI56_HUMAN],25.56,1,14,15,44,1.116,1;18,11.1,0.931,1;18,28.9,1.096,1;18,13.3,117.37 ,6.09,3,3,18.26 ,6.09,4,4,54.43 ,25.17,15,18,284.90 ,25.56,16,19,755,81.4,7.74
Q96BM9,ADP-ribosylation factor-like protein 8A OS=Homo sapiens GN=ARL8A PE=1 SV=1 - [ARL8A_HUMAN],71.51,1,3,10,57,1.116,1;4,8.0,1.065,1;4,8.5,1.188,1;4,4.4,110.94 ,9.68,4,6,19.93 ,9.68,4,6,77.37 ,71.51,11,23,273.81 ,66.13,10,22,186,21.4,7.77
Q86Y91,Kinesin-like protein KIF18B OS=Homo sapiens GN=KIF18B PE=1 SV=3 - [KI18B_HUMAN],8.91,1,5,6,12,1.116,-;5,,1.149,-;5,,1.369,-;5,,,,,,,,,,17.46 ,8.91,6,6,53.25 ,8.91,6,6,864,94.2,8.79
P13051,Uracil-DNA glycosylase OS=Homo sapiens GN=UNG PE=1 SV=2 - [UNG_HUMAN],24.92,1,5,5,11,1.115,1;5,21.9,1.402,1;5,31.7,1.011,-;5,,49.14 ,7.03,1,1,4.87 ,7.03,1,1,16.65 ,22.68,4,4,88.54 ,24.92,5,5,313,34.6,9.32
P05534,"HLA class I histocompatibility antigen, A-24 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=2 - [1A24_HUMAN]",44.38,3,1,16,63,1.115,-;1,,0.863,-;1,,0.804,-;1,,137.07 ,14.25,8,8,32.61 ,12.60,7,8,70.10 ,44.38,16,24,393.09 ,35.07,13,23,365,40.7,6.34
O60942,mRNA-capping enzyme OS=Homo sapiens GN=RNGTT PE=1 SV=1 - [MCE1_HUMAN],30.99,1,12,12,35,1.115,1;15,23.8,0.788,1;15,11.9,0.789,1;15,9.8,119.31 ,9.55,3,3,12.83 ,9.55,3,3,42.50 ,30.99,12,14,165.97 ,30.99,13,15,597,68.5,8.13
P62136,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens GN=PPP1CA PE=1 SV=1 - [PP1A_HUMAN],71.82,1,4,22,210,1.115,3;15,12.6,1.095,3;15,3.8,1.066,3;15,5.8,560.10 ,41.52,16,33,137.72 ,41.52,20,39,194.29 ,65.76,26,70,649.79 ,61.82,25,68,330,37.5,6.33
Q92835,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 OS=Homo sapiens GN=INPP5D PE=1 SV=2 - [SHIP1_HUMAN]",4.79,2,1,3,4,1.115,-;1,,0.876,-;1,,2.905,-;1,,,,,,,,,,3.50 ,4.29,2,2,48.16 ,1.35,2,2,1189,133.2,7.59
Q8NE00,Transmembrane protein 104 OS=Homo sapiens GN=TMEM104 PE=1 SV=2 - [TM104_HUMAN],4.44,1,2,2,2,1.115,-;2,,0.758,-;2,,0.775,-;2,,,,,,,,,,4.50 ,4.44,2,2,,,,,496,55.6,7.20
P38935,DNA-binding protein SMUBP-2 OS=Homo sapiens GN=IGHMBP2 PE=1 SV=3 - [SMBP2_HUMAN],4.33,1,4,4,10,1.115,-;5,,1.133,-;5,,1.165,-;5,,,,,,,,,,14.80 ,4.33,4,5,87.17 ,4.33,4,5,993,109.1,8.97
Q8NDZ4,Deleted in autism protein 1 OS=Homo sapiens GN=C3orf58 PE=1 SV=1 - [DIA1_HUMAN],30.70,1,10,10,22,1.115,1;11,14.1,1.355,1;11,9.2,1.445,1;11,10.2,69.33 ,2.79,1,1,5.06 ,2.79,1,1,33.84 ,27.91,9,10,227.78 ,27.44,9,10,430,49.5,8.53
P33151,Cadherin-5 OS=Homo sapiens GN=CDH5 PE=1 SV=5 - [CADH5_HUMAN],5.99,1,2,2,4,1.115,-;2,,0.812,-;2,,0.989,-;2,,,,,,,,,,9.47 ,5.99,2,3,34.84 ,1.79,1,1,784,87.5,5.43
Q92995,Ubiquitin carboxyl-terminal hydrolase 13 OS=Homo sapiens GN=USP13 PE=1 SV=2 - [UBP13_HUMAN],17.38,1,8,9,23,1.115,-;10,,1.113,-;10,,1.219,-;10,,49.96 ,3.13,1,1,5.59 ,3.13,1,1,26.47 ,17.38,9,11,147.54 ,16.22,8,10,863,97.3,5.53
P56134,"ATP synthase subunit f, mitochondrial OS=Homo sapiens GN=ATP5J2 PE=1 SV=3 - [ATPK_HUMAN]",25.53,1,2,2,4,1.114,-;2,,1.121,-;2,,1.234,-;2,,,,,,,,,,3.15 ,25.53,2,2,0.00 ,25.53,2,2,94,10.9,9.67
Q9NU23,LYR motif-containing protein 2 OS=Homo sapiens GN=LYRM2 PE=1 SV=1 - [LYRM2_HUMAN],12.50,1,1,1,2,1.114,-;1,,1.100,-;1,,1.151,-;1,,,,,,,,,,3.23 ,12.50,1,1,40.98 ,12.50,1,1,88,10.4,10.46
O43933,Peroxisome biogenesis factor 1 OS=Homo sapiens GN=PEX1 PE=1 SV=1 - [PEX1_HUMAN],12.24,1,12,12,24,1.114,-;12,,1.038,-;12,,1.101,-;12,,,,,,0.00 ,2.73,1,1,30.19 ,9.51,11,12,125.41 ,8.81,10,11,1283,142.8,6.33
Q8IWV8,E3 ubiquitin-protein ligase UBR2 OS=Homo sapiens GN=UBR2 PE=1 SV=1 - [UBR2_HUMAN],22.45,1,28,28,66,1.114,1;33,8.3,1.026,1;33,16.1,1.043,1;33,4.7,64.85 ,2.34,2,2,12.77 ,2.34,3,3,87.19 ,20.74,27,33,411.97 ,19.20,24,28,1755,200.4,6.24
P48637,Glutathione synthetase OS=Homo sapiens GN=GSS PE=1 SV=1 - [GSHB_HUMAN],56.96,1,25,25,117,1.114,10;40,6.2,1.174,10;40,0.4,1.074,10;40,2.4,332.75 ,28.27,16,18,86.71 ,29.54,20,22,118.82 ,55.27,25,42,716.44 ,51.69,21,35,474,52.4,5.92
Q96RT8,Gamma-tubulin complex component 5 OS=Homo sapiens GN=TUBGCP5 PE=1 SV=1 - [GCP5_HUMAN],5.57,1,4,4,6,1.114,-;3,,1.006,-;3,,1.013,-;3,,,,,,,,,,11.26 ,4.88,3,3,21.99 ,3.91,3,3,1024,118.2,5.90
Q9Y6W3,Calpain-7 OS=Homo sapiens GN=CAPN7 PE=1 SV=1 - [CAN7_HUMAN],23.62,1,13,13,24,1.114,-;13,,1.146,-;13,,1.032,-;13,,,,,,,,,,34.72 ,23.62,13,13,108.68 ,20.54,11,11,813,92.6,7.65
Q9NQT5,Exosome complex component RRP40 OS=Homo sapiens GN=EXOSC3 PE=1 SV=3 - [EXOS3_HUMAN],55.64,1,10,10,49,1.114,5;16,4.0,1.212,5;16,14.9,1.079,4;16,0.4,364.83 ,31.64,5,6,31.27 ,31.64,8,9,42.44 ,55.64,11,17,200.54 ,55.27,9,17,275,29.6,8.10
Q6ZRS2,Helicase SRCAP OS=Homo sapiens GN=SRCAP PE=1 SV=3 - [SRCAP_HUMAN],9.66,1,21,21,62,1.113,1;25,24.9,0.795,1;25,19.5,0.972,2;25,6.2,52.41 ,0.68,2,2,7.74 ,0.68,2,2,68.48 ,9.66,23,31,464.02 ,8.92,21,27,3230,343.3,5.96
Q9BRP4,Proteasomal ATPase-associated factor 1 OS=Homo sapiens GN=PAAF1 PE=1 SV=2 - [PAAF1_HUMAN],8.93,1,3,3,6,1.113,-;3,,1.156,-;3,,1.182,-;3,,,,,,,,,,7.72 ,8.93,3,3,97.42 ,8.93,3,3,392,42.2,6.32
Q6PHR2,Serine/threonine-protein kinase ULK3 OS=Homo sapiens GN=ULK3 PE=1 SV=2 - [ULK3_HUMAN],28.39,1,8,8,22,1.113,-;9,,1.155,-;9,,1.156,-;9,,49.66 ,6.78,1,2,8.34 ,6.78,1,2,22.05 ,28.39,8,9,131.49 ,28.39,8,9,472,53.4,7.36
Q9H093,NUAK family SNF1-like kinase 2 OS=Homo sapiens GN=NUAK2 PE=1 SV=1 - [NUAK2_HUMAN],34.24,1,11,11,36,1.113,-;16,,1.010,-;16,,1.010,-;16,,,,,,,,,,33.04 ,34.24,13,21,83.27 ,28.82,10,15,628,69.6,8.87
Q96I51,Williams-Beuren syndrome chromosomal region 16 protein OS=Homo sapiens GN=WBSCR16 PE=1 SV=2 - [WBS16_HUMAN],35.34,1,9,9,24,1.113,1;10,0.4,0.962,1;10,7.0,0.936,1;10,2.2,34.30 ,4.74,2,2,8.55 ,4.74,2,2,31.50 ,30.60,8,10,174.09 ,30.60,8,10,464,50.0,8.40
Q8WUW1,Protein BRICK1 OS=Homo sapiens GN=BRK1 PE=1 SV=1 - [BRK1_HUMAN],73.33,2,7,8,26,1.113,3;9,2.0,1.066,3;9,5.1,1.105,3;9,3.1,40.30 ,38.67,6,6,16.67 ,30.67,5,5,19.88 ,53.33,6,7,141.63 ,52.00,5,8,75,8.7,5.45
Q8NC54,Keratinocyte-associated transmembrane protein 2 OS=Homo sapiens GN=KCT2 PE=2 SV=2 - [KCT2_HUMAN],8.68,1,2,2,14,1.113,1;6,1.9,0.997,1;6,9.0,1.046,1;6,5.2,52.54 ,4.91,1,1,9.52 ,4.91,2,2,15.05 ,8.68,2,5,132.62 ,8.68,2,6,265,29.2,5.08
Q9UHC1,DNA mismatch repair protein Mlh3 OS=Homo sapiens GN=MLH3 PE=1 SV=3 - [MLH3_HUMAN],2.06,1,3,3,4,1.113,-;3,,0.838,-;3,,1.047,-;3,,,,,,,,,,5.55 ,1.24,2,2,29.74 ,1.58,2,2,1453,163.6,6.73
O14579,Coatomer subunit epsilon OS=Homo sapiens GN=COPE PE=1 SV=3 - [COPE_HUMAN],84.74,1,19,19,121,1.113,7;49,3.9,1.360,7;49,24.2,1.171,7;49,6.2,382.44 ,40.26,10,13,53.98 ,33.12,9,12,158.58 ,74.68,22,46,673.71 ,84.74,22,50,308,34.5,5.12
O95340,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 OS=Homo sapiens GN=PAPSS2 PE=1 SV=2 - [PAPS2_HUMAN],61.89,1,28,31,271,1.113,19;92,8.3,1.174,18;91,8.3,1.129,18;92,6.9,425.89 ,42.18,28,34,136.43 ,40.07,29,36,295.60 ,59.77,39,102,1028.74 ,56.19,36,99,614,69.5,8.03
Q5R372,Rab GTPase-activating protein 1-like OS=Homo sapiens GN=RABGAP1L PE=1 SV=1 - [RBG1L_HUMAN],19.88,1,10,11,24,1.113,-;11,,1.258,-;11,,1.160,-;11,,,,,,,,,,37.19 ,19.88,11,12,133.43 ,19.88,11,12,815,92.5,5.31
Q13011,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Homo sapiens GN=ECH1 PE=1 SV=2 - [ECH1_HUMAN]",57.32,1,17,17,191,1.113,15;61,1.1,1.128,16;62,9.5,1.045,16;61,1.8,621.40 ,40.24,18,28,124.46 ,38.41,17,32,148.37 ,52.74,23,71,1124.90 ,49.39,18,60,328,35.8,8.00
Q8NBI6,Xyloside xylosyltransferase 1 OS=Homo sapiens GN=XXYLT1 PE=1 SV=1 - [XXLT1_HUMAN],33.33,1,10,10,24,1.113,-;11,,0.777,1;11,49.2,1.051,-;11,,57.50 ,4.83,1,1,4.29 ,4.83,1,1,30.57 ,33.33,10,11,214.02 ,33.33,10,11,393,43.8,8.13
P27797,Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1 - [CALR_HUMAN],78.90,1,32,32,1366,1.113,75;509,4.1,1.139,76;503,1.5,1.137,77;506,0.8,2393.15 ,55.40,28,129,666.14 ,56.12,39,180,1212.39 ,78.90,57,612,4911.01 ,76.26,37,445,417,48.1,4.44
Q9H489,Putative testis-specific Y-encoded-like protein 3 OS=Homo sapiens GN=TSPY26P PE=5 SV=1 - [TSY26_HUMAN],1.97,1,1,1,2,1.112,-;2,,1.164,-;2,,1.127,-;2,,,,,,,,,,,,,,0.00 ,1.97,1,2,355,39.5,8.09
Q15776,Zinc finger protein with KRAB and SCAN domains 8 OS=Homo sapiens GN=ZKSCAN8 PE=1 SV=2 - [ZKSC8_HUMAN],23.01,1,6,9,33,1.112,-;8,,1.051,-;8,,1.099,-;8,,,,,,,,,,37.62 ,23.01,10,20,107.47 ,20.42,8,13,578,65.8,7.39
O00255,Menin OS=Homo sapiens GN=MEN1 PE=1 SV=4 - [MEN1_HUMAN],26.99,1,11,11,44,1.112,1;15,11.5,0.893,1;15,9.4,1.061,2;15,6.4,95.78 ,12.03,3,3,14.95 ,15.61,5,5,41.92 ,25.85,11,20,76.84 ,26.83,10,16,615,68.0,6.55
O75928,E3 SUMO-protein ligase PIAS2 OS=Homo sapiens GN=PIAS2 PE=1 SV=3 - [PIAS2_HUMAN],5.64,1,1,2,4,1.112,-;1,,0.930,-;1,,1.677,-;1,,,,,,,,,,3.25 ,5.64,2,2,33.63 ,5.64,2,2,621,68.2,7.52
